PRODUCE,COST PER POUND,POUNDS SOLD,TOTAL
Grapefruit,0.76,33.3,"=ROUND(B2383*C2383,2)"
Daikon,1.4,20.3,"=ROUND(B2384*C2384,2)"
Grapes,2.63,8.5,"=ROUND(B2385*C2385,2)"
Watermelon,0.66,2.6,"=ROUND(B2386*C2386,2)"
Apricots,3.71,39.5,"=ROUND(B2387*C2387,2)"
Apples,1.88,18.5,"=ROUND(B2388*C2388,2)"
Potatoes,0.86,35.9,"=ROUND(B2389*C2389,2)"
Brussels sprouts,1.65,14.5,"=ROUND(B2390*C2390,2)"
Brussels sprouts,1.65,36.2,"=ROUND(B2391*C2391,2)"
Lime,1.06,37.6,"=ROUND(B2392*C2392,2)"
Lemon,1.27,18.2,"=ROUND(B2393*C2393,2)"
Ginger,5.13,8.3,"=ROUND(B2394*C2394,2)"
Lime,1.06,22.9,"=ROUND(B2395*C2395,2)"
Corn,1.07,33.5,"=ROUND(B2396*C2396,2)"
Grapefruit,0.76,11.4,"=ROUND(B2397*C2397,2)"
Green peppers,1.89,5.9,"=ROUND(B2398*C2398,2)"
Yellow peppers,2.87,39.6,"=ROUND(B2399*C2399,2)"
Parsnips,2.27,27.1,"=ROUND(B2400*C2400,2)"
Red onion,0.78,5.300000000000001,"=ROUND(B2401*C2401,2)"
Fava beans,2.69,2.8,"=ROUND(B2402*C2402,2)"
Cucumber,1.07,17.6,"=ROUND(B2403*C2403,2)"
Bananas,0.86,37.9,"=ROUND(B2404*C2404,2)"
Grapefruit,0.76,9.8,"=ROUND(B2405*C2405,2)"
Celery,1.19,17.9,"=ROUND(B2406*C2406,2)"
Bananas,0.86,3.8,"=ROUND(B2407*C2407,2)"
Potatoes,0.86,12,"=ROUND(B2408*C2408,2)"
Apples,1.88,29.5,"=ROUND(B2409*C2409,2)"
Grapes,2.63,19.9,"=ROUND(B2410*C2410,2)"
Bananas,0.86,15.5,"=ROUND(B2411*C2411,2)"
Green cabbage,0.8,26.1,"=ROUND(B2412*C2412,2)"
Corn,1.07,35.7,"=ROUND(B2413*C2413,2)"
Asparagus,2.49,23.7,"=ROUND(B2414*C2414,2)"
Strawberries,4.4,39.8,"=ROUND(B2415*C2415,2)"
Grapefruit,0.76,9.200000000000001,"=ROUND(B2416*C2416,2)"
Parsnips,2.27,33.5,"=ROUND(B2417*C2417,2)"
Tomatoes,3.16,18.8,"=ROUND(B2418*C2418,2)"
Fava beans,2.69,16.8,"=ROUND(B2419*C2419,2)"
Watermelon,0.66,35.1,"=ROUND(B2420*C2420,2)"
Coconuts,1.18,28.2,"=ROUND(B2421*C2421,2)"
Celery,1.19,13,"=ROUND(B2422*C2422,2)"
Kale,5.02,1.5,"=ROUND(B2423*C2423,2)"
Celery,1.19,37.6,"=ROUND(B2424*C2424,2)"
Potatoes,0.86,22.5,"=ROUND(B2425*C2425,2)"
Green beans,2.52,22.5,"=ROUND(B2426*C2426,2)"
Red onion,0.78,22.9,"=ROUND(B2427*C2427,2)"
Potatoes,0.86,8.5,"=ROUND(B2428*C2428,2)"
Okra,2.26,9.3,"=ROUND(B2429*C2429,2)"
Cucumber,1.07,20.3,"=ROUND(B2430*C2430,2)"
Cherries,9.5,19.3,"=ROUND(B2431*C2431,2)"
Daikon,1.4,20.1,"=ROUND(B2432*C2432,2)"
Parsnips,2.27,1.7,"=ROUND(B2433*C2433,2)"
Eggplant,2.32,24.3,"=ROUND(B2434*C2434,2)"
Apples,1.88,28,"=ROUND(B2435*C2435,2)"
Eggplant,2.32,20.5,"=ROUND(B2436*C2436,2)"
Celery,1.19,5.2,"=ROUND(B2437*C2437,2)"
Bananas,0.86,6.5,"=ROUND(B2438*C2438,2)"
Kale,5.02,12.5,"=ROUND(B2439*C2439,2)"
Red onion,0.78,36.7,"=ROUND(B2440*C2440,2)"
Okra,2.26,17.6,"=ROUND(B2441*C2441,2)"
Okra,2.26,19,"=ROUND(B2442*C2442,2)"
Coconuts,1.18,38.3,"=ROUND(B2443*C2443,2)"
Kale,5.02,34.6,"=ROUND(B2444*C2444,2)"
Lime,1.06,34.4,"=ROUND(B2445*C2445,2)"
Kale,5.02,34.8,"=ROUND(B2446*C2446,2)"
Green beans,2.52,34.2,"=ROUND(B2447*C2447,2)"
Watermelon,0.66,15.9,"=ROUND(B2448*C2448,2)"
Parsnips,2.27,14.7,"=ROUND(B2449*C2449,2)"
Yellow peppers,2.87,25.6,"=ROUND(B2450*C2450,2)"
Lemon,1.27,14.2,"=ROUND(B2451*C2451,2)"
Bananas,0.86,34.6,"=ROUND(B2452*C2452,2)"
Green beans,2.52,36.4,"=ROUND(B2453*C2453,2)"
Cherries,9.5,32.1,"=ROUND(B2454*C2454,2)"
Lettuce,1.88,23.1,"=ROUND(B2455*C2455,2)"
Green beans,2.52,13.9,"=ROUND(B2456*C2456,2)"
Cherries,9.5,13.2,"=ROUND(B2457*C2457,2)"
Eggplant,2.32,6.800000000000001,"=ROUND(B2458*C2458,2)"
Grapes,2.63,36.4,"=ROUND(B2459*C2459,2)"
Lemon,1.27,35.1,"=ROUND(B2460*C2460,2)"
Green beans,2.52,18.6,"=ROUND(B2461*C2461,2)"
Brussels sprouts,1.65,28.9,"=ROUND(B2462*C2462,2)"
Brussels sprouts,1.65,24.2,"=ROUND(B2463*C2463,2)"
Lettuce,1.88,15.1,"=ROUND(B2464*C2464,2)"
Butternut squash,1.28,7.600000000000001,"=ROUND(B2465*C2465,2)"
Garlic,3.07,32.9,"=ROUND(B2466*C2466,2)"
Green cabbage,0.8,7,"=ROUND(B2467*C2467,2)"
Eggplant,2.32,25.1,"=ROUND(B2468*C2468,2)"
Tomatoes,3.16,6.300000000000001,"=ROUND(B2469*C2469,2)"
Corn,1.07,36.9,"=ROUND(B2470*C2470,2)"
Red onion,0.78,1.7,"=ROUND(B2471*C2471,2)"
Carrots,1.26,39.2,"=ROUND(B2472*C2472,2)"
Bananas,0.86,0.9,"=ROUND(B2473*C2473,2)"
Bok choy,1.42,21.1,"=ROUND(B2474*C2474,2)"
Bok choy,1.42,18.3,"=ROUND(B2475*C2475,2)"
Orange,1.09,15.1,"=ROUND(B2476*C2476,2)"
Yellow peppers,2.87,7,"=ROUND(B2477*C2477,2)"
Avocados,3.23,17.6,"=ROUND(B2478*C2478,2)"
Orange,1.09,10.6,"=ROUND(B2479*C2479,2)"
Garlic,3.07,26.5,"=ROUND(B2480*C2480,2)"
Butternut squash,1.28,28,"=ROUND(B2481*C2481,2)"
Butternut squash,1.28,8.4,"=ROUND(B2482*C2482,2)"
Beets,1.51,17.8,"=ROUND(B2483*C2483,2)"
Potatoes,0.86,39.90000000000001,"=ROUND(B2484*C2484,2)"
Yellow peppers,2.87,2,"=ROUND(B2485*C2485,2)"
Green beans,2.52,25.6,"=ROUND(B2486*C2486,2)"
Lettuce,1.88,13.7,"=ROUND(B2487*C2487,2)"
Yellow peppers,2.87,25.7,"=ROUND(B2488*C2488,2)"
Carrots,1.26,18.6,"=ROUND(B2489*C2489,2)"
Avocados,3.23,23.8,"=ROUND(B2490*C2490,2)"
Green peppers,1.89,13.1,"=ROUND(B2491*C2491,2)"
Butternut squash,1.28,28.1,"=ROUND(B2492*C2492,2)"
Orange,1.09,14.3,"=ROUND(B2493*C2493,2)"
Bok choy,1.42,29.3,"=ROUND(B2494*C2494,2)"
Asparagus,2.49,35.3,"=ROUND(B2495*C2495,2)"
Butternut squash,1.28,9.9,"=ROUND(B2496*C2496,2)"
Beets,1.51,12,"=ROUND(B2497*C2497,2)"
Fava beans,2.69,36.3,"=ROUND(B2498*C2498,2)"
Green peppers,1.89,11.6,"=ROUND(B2499*C2499,2)"
Bok choy,1.42,24.5,"=ROUND(B2500*C2500,2)"
Okra,2.26,20.8,"=ROUND(B2501*C2501,2)"
Cucumber,1.07,27.3,"=ROUND(B2502*C2502,2)"
Spinach,4.12,29.3,"=ROUND(B2503*C2503,2)"
Avocados,3.23,9.1,"=ROUND(B2504*C2504,2)"
Coconuts,1.18,32.1,"=ROUND(B2505*C2505,2)"
Bok choy,1.42,39.3,"=ROUND(B2506*C2506,2)"
Celery,1.19,18.8,"=ROUND(B2507*C2507,2)"
Spinach,4.12,6.600000000000001,"=ROUND(B2508*C2508,2)"
Parsnips,2.27,16.1,"=ROUND(B2509*C2509,2)"
Green peppers,1.89,26.6,"=ROUND(B2510*C2510,2)"
Bananas,0.86,31.3,"=ROUND(B2511*C2511,2)"
Beets,1.51,10.1,"=ROUND(B2512*C2512,2)"
Apples,1.88,36.2,"=ROUND(B2513*C2513,2)"
Bananas,0.86,2.4,"=ROUND(B2514*C2514,2)"
Green beans,2.52,33.7,"=ROUND(B2515*C2515,2)"
Lime,1.06,21,"=ROUND(B2516*C2516,2)"
Red onion,0.78,15,"=ROUND(B2517*C2517,2)"
Daikon,1.4,17.1,"=ROUND(B2518*C2518,2)"
Apples,1.88,25.4,"=ROUND(B2519*C2519,2)"
Papaya,1.34,12.2,"=ROUND(B2520*C2520,2)"
Grapes,2.63,13.3,"=ROUND(B2521*C2521,2)"
Daikon,1.4,22.8,"=ROUND(B2522*C2522,2)"
Kale,5.02,36.2,"=ROUND(B2523*C2523,2)"
Lemon,1.27,38.40000000000001,"=ROUND(B2524*C2524,2)"
Bananas,0.86,2.4,"=ROUND(B2525*C2525,2)"
Green cabbage,0.8,3,"=ROUND(B2526*C2526,2)"
Bananas,0.86,33.8,"=ROUND(B2527*C2527,2)"
Cherries,9.5,39.2,"=ROUND(B2528*C2528,2)"
Lime,1.06,2.2,"=ROUND(B2529*C2529,2)"
Parsnips,2.27,30.1,"=ROUND(B2530*C2530,2)"
Cucumber,1.07,18,"=ROUND(B2531*C2531,2)"
Green beans,2.52,36.7,"=ROUND(B2532*C2532,2)"
Cucumber,1.07,34.4,"=ROUND(B2533*C2533,2)"
Bok choy,1.42,33.8,"=ROUND(B2534*C2534,2)"
Kale,5.02,35.4,"=ROUND(B2535*C2535,2)"
Beets,1.51,13.7,"=ROUND(B2536*C2536,2)"
Avocados,3.23,24.1,"=ROUND(B2537*C2537,2)"
Celery,1.19,21,"=ROUND(B2538*C2538,2)"
Apricots,3.71,29.1,"=ROUND(B2539*C2539,2)"
Yellow peppers,2.87,29.3,"=ROUND(B2540*C2540,2)"
Bok choy,1.42,34.3,"=ROUND(B2541*C2541,2)"
Asparagus,2.49,26.8,"=ROUND(B2542*C2542,2)"
Celery,1.19,31.1,"=ROUND(B2543*C2543,2)"
Carrots,1.26,12.6,"=ROUND(B2544*C2544,2)"
Avocados,3.23,23.2,"=ROUND(B2545*C2545,2)"
Celery,1.19,20.7,"=ROUND(B2546*C2546,2)"
Avocados,3.23,32.1,"=ROUND(B2547*C2547,2)"
Cherries,9.5,9.1,"=ROUND(B2548*C2548,2)"
Yellow peppers,2.87,13.9,"=ROUND(B2549*C2549,2)"
Garlic,3.07,9.9,"=ROUND(B2550*C2550,2)"
Butternut squash,1.28,1.8,"=ROUND(B2551*C2551,2)"
Brussels sprouts,1.65,0.9,"=ROUND(B2552*C2552,2)"
Lime,1.06,15.7,"=ROUND(B2553*C2553,2)"
Grapes,2.63,10.9,"=ROUND(B2554*C2554,2)"
Apples,1.88,32.1,"=ROUND(B2555*C2555,2)"
Orange,1.09,5,"=ROUND(B2556*C2556,2)"
Bok choy,1.42,32.9,"=ROUND(B2557*C2557,2)"
Coconuts,1.18,22.6,"=ROUND(B2558*C2558,2)"
Apricots,3.71,26.8,"=ROUND(B2559*C2559,2)"
Bananas,0.86,29.6,"=ROUND(B2560*C2560,2)"
Beets,1.51,22.7,"=ROUND(B2561*C2561,2)"
Papaya,1.34,18.3,"=ROUND(B2562*C2562,2)"
Green beans,2.52,17.6,"=ROUND(B2563*C2563,2)"
Red onion,0.78,2.5,"=ROUND(B2564*C2564,2)"
Corn,1.07,13.7,"=ROUND(B2565*C2565,2)"
Potatoes,0.86,35.4,"=ROUND(B2566*C2566,2)"
Grapes,2.63,5.300000000000001,"=ROUND(B2567*C2567,2)"
Cucumber,1.07,23.6,"=ROUND(B2568*C2568,2)"
Bananas,0.86,38.40000000000001,"=ROUND(B2569*C2569,2)"
Parsnips,2.27,38,"=ROUND(B2570*C2570,2)"
Carrots,1.26,8,"=ROUND(B2571*C2571,2)"
Strawberries,4.4,9.3,"=ROUND(B2572*C2572,2)"
Tomatoes,3.16,12.9,"=ROUND(B2573*C2573,2)"
Yellow peppers,2.87,7.800000000000001,"=ROUND(B2574*C2574,2)"
Potatoes,0.86,7.800000000000001,"=ROUND(B2575*C2575,2)"
Garlic,3.07,24.2,"=ROUND(B2576*C2576,2)"
Orange,1.09,13.4,"=ROUND(B2577*C2577,2)"
Coconuts,1.18,4.9,"=ROUND(B2578*C2578,2)"
Red onion,0.78,28.2,"=ROUND(B2579*C2579,2)"
Yellow peppers,2.87,1,"=ROUND(B2580*C2580,2)"
Kale,5.02,37.9,"=ROUND(B2581*C2581,2)"
Beets,1.51,19.7,"=ROUND(B2582*C2582,2)"
Asparagus,2.49,31.9,"=ROUND(B2583*C2583,2)"
Cherries,9.5,16.9,"=ROUND(B2584*C2584,2)"
Bananas,0.86,1.4,"=ROUND(B2585*C2585,2)"
Strawberries,4.4,8.4,"=ROUND(B2586*C2586,2)"
Kale,5.02,22.7,"=ROUND(B2587*C2587,2)"
Cucumber,1.07,27.5,"=ROUND(B2588*C2588,2)"
Beets,1.51,10.5,"=ROUND(B2589*C2589,2)"
Butternut squash,1.28,8.1,"=ROUND(B2590*C2590,2)"
Red onion,0.78,38.8,"=ROUND(B2591*C2591,2)"
Corn,1.07,36.7,"=ROUND(B2592*C2592,2)"
Kale,5.02,31.7,"=ROUND(B2593*C2593,2)"
Celery,1.19,39.5,"=ROUND(B2594*C2594,2)"
Asparagus,2.49,21.2,"=ROUND(B2595*C2595,2)"
Brussels sprouts,1.65,17.7,"=ROUND(B2596*C2596,2)"
Daikon,1.4,3.7,"=ROUND(B2597*C2597,2)"
Green beans,2.52,8.5,"=ROUND(B2598*C2598,2)"
Strawberries,4.4,9.9,"=ROUND(B2599*C2599,2)"
Asparagus,2.49,34.1,"=ROUND(B2600*C2600,2)"
Brussels sprouts,1.65,25.7,"=ROUND(B2601*C2601,2)"
Watermelon,0.66,23.8,"=ROUND(B2602*C2602,2)"
Cucumber,1.07,34.8,"=ROUND(B2603*C2603,2)"
Tomatoes,3.16,37.9,"=ROUND(B2604*C2604,2)"
Grapefruit,0.76,36.1,"=ROUND(B2605*C2605,2)"
Kale,5.02,4.7,"=ROUND(B2606*C2606,2)"
Grapefruit,0.76,2.2,"=ROUND(B2607*C2607,2)"
Apricots,3.71,27.4,"=ROUND(B2608*C2608,2)"
Daikon,1.4,16.1,"=ROUND(B2609*C2609,2)"
Beets,1.51,39.5,"=ROUND(B2610*C2610,2)"
Kale,5.02,36.9,"=ROUND(B2611*C2611,2)"
Fava beans,2.69,13.3,"=ROUND(B2612*C2612,2)"
Fava beans,2.69,8.1,"=ROUND(B2613*C2613,2)"
Cucumber,1.07,10.1,"=ROUND(B2614*C2614,2)"
Potatoes,0.86,30.3,"=ROUND(B2615*C2615,2)"
Lime,1.06,16.7,"=ROUND(B2616*C2616,2)"
Apricots,3.71,8.700000000000001,"=ROUND(B2617*C2617,2)"
Carrots,1.26,6.800000000000001,"=ROUND(B2618*C2618,2)"
Cherries,9.5,29.9,"=ROUND(B2619*C2619,2)"
Red onion,0.78,21,"=ROUND(B2620*C2620,2)"
Apples,1.88,39.5,"=ROUND(B2621*C2621,2)"
Butternut squash,1.28,17,"=ROUND(B2622*C2622,2)"
Potatoes,0.86,31.7,"=ROUND(B2623*C2623,2)"
Fava beans,2.69,1.8,"=ROUND(B2624*C2624,2)"
Cucumber,1.07,2,"=ROUND(B2625*C2625,2)"
Beets,1.51,23.4,"=ROUND(B2626*C2626,2)"
Apricots,3.71,33.6,"=ROUND(B2627*C2627,2)"
Parsnips,2.27,8.5,"=ROUND(B2628*C2628,2)"
Apples,1.88,29,"=ROUND(B2629*C2629,2)"
Celery,1.19,21,"=ROUND(B2630*C2630,2)"
Cucumber,1.07,4.600000000000001,"=ROUND(B2631*C2631,2)"
Cucumber,1.07,10.9,"=ROUND(B2632*C2632,2)"
Lettuce,1.88,11.8,"=ROUND(B2633*C2633,2)"
Green beans,2.52,29.3,"=ROUND(B2634*C2634,2)"
Lettuce,1.88,15.4,"=ROUND(B2635*C2635,2)"
Cherries,9.5,18.2,"=ROUND(B2636*C2636,2)"
Orange,1.09,2.9,"=ROUND(B2637*C2637,2)"
Orange,1.09,10.4,"=ROUND(B2638*C2638,2)"
Red onion,0.78,10.2,"=ROUND(B2639*C2639,2)"
Butternut squash,1.28,38,"=ROUND(B2640*C2640,2)"
Eggplant,2.32,26.9,"=ROUND(B2641*C2641,2)"
Daikon,1.4,17.4,"=ROUND(B2642*C2642,2)"
Green cabbage,0.8,1,"=ROUND(B2643*C2643,2)"
Apricots,3.71,15,"=ROUND(B2644*C2644,2)"
Daikon,1.4,7.600000000000001,"=ROUND(B2645*C2645,2)"
Ginger,5.13,6.100000000000001,"=ROUND(B2646*C2646,2)"
Corn,1.07,15.9,"=ROUND(B2647*C2647,2)"
Daikon,1.4,38.8,"=ROUND(B2648*C2648,2)"
Apples,1.88,31.4,"=ROUND(B2649*C2649,2)"
Avocados,3.23,21.8,"=ROUND(B2650*C2650,2)"
Fava beans,2.69,26.7,"=ROUND(B2651*C2651,2)"
Ginger,5.13,23.4,"=ROUND(B2652*C2652,2)"
Okra,2.26,16.9,"=ROUND(B2653*C2653,2)"
Cucumber,1.07,4.3,"=ROUND(B2654*C2654,2)"
Bok choy,1.42,14.3,"=ROUND(B2655*C2655,2)"
Apples,1.88,12.2,"=ROUND(B2656*C2656,2)"
Green cabbage,0.8,16.9,"=ROUND(B2657*C2657,2)"
Ginger,5.13,12,"=ROUND(B2658*C2658,2)"
Celery,1.19,35,"=ROUND(B2659*C2659,2)"
Garlic,3.07,7.9,"=ROUND(B2660*C2660,2)"
Red onion,0.78,14.2,"=ROUND(B2661*C2661,2)"
Bok choy,1.42,10.7,"=ROUND(B2662*C2662,2)"
Potatoes,0.86,32.7,"=ROUND(B2663*C2663,2)"
Celery,1.19,25.6,"=ROUND(B2664*C2664,2)"
Spinach,4.12,18.1,"=ROUND(B2665*C2665,2)"
Watermelon,0.66,8.8,"=ROUND(B2666*C2666,2)"
Lettuce,1.88,18.9,"=ROUND(B2667*C2667,2)"
Bok choy,1.42,18.9,"=ROUND(B2668*C2668,2)"
Papaya,1.34,15.5,"=ROUND(B2669*C2669,2)"
Butternut squash,1.28,30.6,"=ROUND(B2670*C2670,2)"
Watermelon,0.66,26.8,"=ROUND(B2671*C2671,2)"
Papaya,1.34,18.9,"=ROUND(B2672*C2672,2)"
Yellow peppers,2.87,0.7000000000000001,"=ROUND(B2673*C2673,2)"
Green cabbage,0.8,11.9,"=ROUND(B2674*C2674,2)"
Apples,1.88,19.6,"=ROUND(B2675*C2675,2)"
Corn,1.07,11.7,"=ROUND(B2676*C2676,2)"
Corn,1.07,27.1,"=ROUND(B2677*C2677,2)"
Lemon,1.27,17.1,"=ROUND(B2678*C2678,2)"
Cherries,9.5,18.3,"=ROUND(B2679*C2679,2)"
Cucumber,1.07,25.1,"=ROUND(B2680*C2680,2)"
Kale,5.02,18.6,"=ROUND(B2681*C2681,2)"
Lemon,1.27,11.9,"=ROUND(B2682*C2682,2)"
Red onion,0.78,25,"=ROUND(B2683*C2683,2)"
Apples,1.88,6.800000000000001,"=ROUND(B2684*C2684,2)"
Tomatoes,3.16,28.7,"=ROUND(B2685*C2685,2)"
Okra,2.26,4.2,"=ROUND(B2686*C2686,2)"
Carrots,1.26,21.9,"=ROUND(B2687*C2687,2)"
Lettuce,1.88,16.9,"=ROUND(B2688*C2688,2)"
Green peppers,1.89,39.8,"=ROUND(B2689*C2689,2)"
Lemon,1.27,9,"=ROUND(B2690*C2690,2)"
Lime,1.06,31.3,"=ROUND(B2691*C2691,2)"
Daikon,1.4,32.3,"=ROUND(B2692*C2692,2)"
Coconuts,1.18,35.3,"=ROUND(B2693*C2693,2)"
Celery,1.19,4.9,"=ROUND(B2694*C2694,2)"
Coconuts,1.18,33.7,"=ROUND(B2695*C2695,2)"
Papaya,1.34,24.9,"=ROUND(B2696*C2696,2)"
Brussels sprouts,1.65,5,"=ROUND(B2697*C2697,2)"
Lime,1.06,39.90000000000001,"=ROUND(B2698*C2698,2)"
Potatoes,0.86,30.6,"=ROUND(B2699*C2699,2)"
Cherries,9.5,28.5,"=ROUND(B2700*C2700,2)"
Apricots,3.71,36.6,"=ROUND(B2701*C2701,2)"
Orange,1.09,21.4,"=ROUND(B2702*C2702,2)"
Grapefruit,0.76,9.5,"=ROUND(B2703*C2703,2)"
Apricots,3.71,27.9,"=ROUND(B2704*C2704,2)"
Carrots,1.26,17.1,"=ROUND(B2705*C2705,2)"
Lemon,1.27,5,"=ROUND(B2706*C2706,2)"
Beets,1.51,15.8,"=ROUND(B2707*C2707,2)"
Brussels sprouts,1.65,19.6,"=ROUND(B2708*C2708,2)"
Avocados,3.23,10.1,"=ROUND(B2709*C2709,2)"
Grapes,2.63,17.3,"=ROUND(B2710*C2710,2)"
Butternut squash,1.28,5.4,"=ROUND(B2711*C2711,2)"
Lemon,1.27,25.3,"=ROUND(B2712*C2712,2)"
Green peppers,1.89,7.800000000000001,"=ROUND(B2713*C2713,2)"
Tomatoes,3.16,35.8,"=ROUND(B2714*C2714,2)"
Red onion,0.78,26,"=ROUND(B2715*C2715,2)"
Orange,1.09,35.5,"=ROUND(B2716*C2716,2)"
Watermelon,0.66,12.9,"=ROUND(B2717*C2717,2)"
Bananas,0.86,7.100000000000001,"=ROUND(B2718*C2718,2)"
Red onion,0.78,36.1,"=ROUND(B2719*C2719,2)"
Tomatoes,3.16,7.7,"=ROUND(B2720*C2720,2)"
Cucumber,1.07,29.5,"=ROUND(B2721*C2721,2)"
Beets,1.51,31,"=ROUND(B2722*C2722,2)"
Strawberries,4.4,19.8,"=ROUND(B2723*C2723,2)"
Bok choy,1.42,0.8,"=ROUND(B2724*C2724,2)"
Green cabbage,0.8,2.4,"=ROUND(B2725*C2725,2)"
Avocados,3.23,33.5,"=ROUND(B2726*C2726,2)"
Parsnips,2.27,33.9,"=ROUND(B2727*C2727,2)"
Butternut squash,1.28,4,"=ROUND(B2728*C2728,2)"
Spinach,4.12,5.2,"=ROUND(B2729*C2729,2)"
Celery,1.19,37.3,"=ROUND(B2730*C2730,2)"
Brussels sprouts,1.65,37.6,"=ROUND(B2731*C2731,2)"
Bananas,0.86,32.8,"=ROUND(B2732*C2732,2)"
Fava beans,2.69,22.1,"=ROUND(B2733*C2733,2)"
Tomatoes,3.16,33.5,"=ROUND(B2734*C2734,2)"
Kale,5.02,6.600000000000001,"=ROUND(B2735*C2735,2)"
Celery,1.19,12.9,"=ROUND(B2736*C2736,2)"
Potatoes,0.86,5,"=ROUND(B2737*C2737,2)"
Corn,1.07,11.9,"=ROUND(B2738*C2738,2)"
Papaya,1.34,29.8,"=ROUND(B2739*C2739,2)"
Spinach,4.12,11.1,"=ROUND(B2740*C2740,2)"
Orange,1.09,7.600000000000001,"=ROUND(B2741*C2741,2)"
Celery,1.19,6.5,"=ROUND(B2742*C2742,2)"
Asparagus,2.49,1.6,"=ROUND(B2743*C2743,2)"
Green peppers,1.89,38.5,"=ROUND(B2744*C2744,2)"
Lemon,1.27,19.7,"=ROUND(B2745*C2745,2)"
Okra,2.26,33.1,"=ROUND(B2746*C2746,2)"
Kale,5.02,20,"=ROUND(B2747*C2747,2)"
Strawberries,4.4,36.8,"=ROUND(B2748*C2748,2)"
Butternut squash,1.28,12.9,"=ROUND(B2749*C2749,2)"
Bok choy,1.42,16.6,"=ROUND(B2750*C2750,2)"
Eggplant,2.32,4.800000000000001,"=ROUND(B2751*C2751,2)"
Cucumber,1.07,17.4,"=ROUND(B2752*C2752,2)"
Potatoes,0.86,31.4,"=ROUND(B2753*C2753,2)"
Corn,1.07,39,"=ROUND(B2754*C2754,2)"
Orange,1.09,24.1,"=ROUND(B2755*C2755,2)"
Corn,1.07,5,"=ROUND(B2756*C2756,2)"
Spinach,4.12,32.9,"=ROUND(B2757*C2757,2)"
Strawberries,4.4,38.40000000000001,"=ROUND(B2758*C2758,2)"
Strawberries,4.4,19.2,"=ROUND(B2759*C2759,2)"
Garlic,3.07,5.7,"=ROUND(B2760*C2760,2)"
Celery,1.19,20,"=ROUND(B2761*C2761,2)"
Green cabbage,0.8,30.5,"=ROUND(B2762*C2762,2)"
Lime,1.06,5.300000000000001,"=ROUND(B2763*C2763,2)"
Tomatoes,3.16,17.6,"=ROUND(B2764*C2764,2)"
Watermelon,0.66,20.6,"=ROUND(B2765*C2765,2)"
Watermelon,0.66,10,"=ROUND(B2766*C2766,2)"
Parsnips,2.27,12.2,"=ROUND(B2767*C2767,2)"
Brussels sprouts,1.65,11.3,"=ROUND(B2768*C2768,2)"
Green cabbage,0.8,8.6,"=ROUND(B2769*C2769,2)"
Cucumber,1.07,30.6,"=ROUND(B2770*C2770,2)"
Garlic,3.07,0.5,"=ROUND(B2771*C2771,2)"
Red onion,0.78,29.3,"=ROUND(B2772*C2772,2)"
Green beans,2.52,33,"=ROUND(B2773*C2773,2)"
Papaya,1.34,22.2,"=ROUND(B2774*C2774,2)"
Kale,5.02,26.6,"=ROUND(B2775*C2775,2)"
Watermelon,0.66,39.3,"=ROUND(B2776*C2776,2)"
Brussels sprouts,1.65,9.700000000000001,"=ROUND(B2777*C2777,2)"
Corn,1.07,13.7,"=ROUND(B2778*C2778,2)"
Green cabbage,0.8,28.4,"=ROUND(B2779*C2779,2)"
Eggplant,2.32,29.3,"=ROUND(B2780*C2780,2)"
Fava beans,2.69,0.5,"=ROUND(B2781*C2781,2)"
Apples,1.88,4.2,"=ROUND(B2782*C2782,2)"
Okra,2.26,13,"=ROUND(B2783*C2783,2)"
Eggplant,2.32,2.9,"=ROUND(B2784*C2784,2)"
Green peppers,1.89,13.1,"=ROUND(B2785*C2785,2)"
Green cabbage,0.8,11.8,"=ROUND(B2786*C2786,2)"
Corn,1.07,6.7,"=ROUND(B2787*C2787,2)"
Cherries,9.5,23.8,"=ROUND(B2788*C2788,2)"
Grapefruit,0.76,15.1,"=ROUND(B2789*C2789,2)"
Okra,2.26,7,"=ROUND(B2790*C2790,2)"
Strawberries,4.4,37.4,"=ROUND(B2791*C2791,2)"
Celery,1.19,29.2,"=ROUND(B2792*C2792,2)"
Ginger,5.13,34.5,"=ROUND(B2793*C2793,2)"
Cucumber,1.07,15.5,"=ROUND(B2794*C2794,2)"
Watermelon,0.66,28.2,"=ROUND(B2795*C2795,2)"
Ginger,5.13,17.9,"=ROUND(B2796*C2796,2)"
Eggplant,2.32,16.3,"=ROUND(B2797*C2797,2)"
Eggplant,2.32,26.6,"=ROUND(B2798*C2798,2)"
Lemon,1.27,12.8,"=ROUND(B2799*C2799,2)"
Grapefruit,0.76,26.9,"=ROUND(B2800*C2800,2)"
Tomatoes,3.16,38.8,"=ROUND(B2801*C2801,2)"
Bananas,0.86,35.1,"=ROUND(B2802*C2802,2)"
Grapes,2.63,29.4,"=ROUND(B2803*C2803,2)"
Lime,1.06,3.3,"=ROUND(B2804*C2804,2)"
Cucumber,1.07,31.3,"=ROUND(B2805*C2805,2)"
Beets,1.51,18.4,"=ROUND(B2806*C2806,2)"
Parsnips,2.27,5.5,"=ROUND(B2807*C2807,2)"
Cherries,9.5,32.9,"=ROUND(B2808*C2808,2)"
Kale,5.02,36.2,"=ROUND(B2809*C2809,2)"
Bok choy,1.42,2.7,"=ROUND(B2810*C2810,2)"
Carrots,1.26,32.5,"=ROUND(B2811*C2811,2)"
